Dimension,numInstances,Boscia_CustomTerm,Boscia_CustomTermRel,Boscia_CustomTime,Boscia_CustomRelGapNT,Boscia_CustomNodesOCuts,Boscia_MIPTerm,Boscia_MIPTermRel,Boscia_MIPTime,Boscia_MIPRelGapNT,Boscia_MIPNodesOCuts
3,10,10,100 %,7.77,0.0,35,10,100 %,8.0,0.0,35
4,10,10,100 %,7.99,0.0,156,10,100 %,8.68,0.0,156
5,10,10,100 %,7.1,0.01,781,10,100 %,11.66,0.01,780
6,10,10,100 %,7.41,0.01,4631,10,100 %,40.61,0.01,4640
7,10,10,100 %,13.29,0.01,31964,10,100 %,288.07,0.01,31977
8,10,10,100 %,324.49,0.01,272294,10,100 %,2059.07,0.01,272324
9,10,0,0 %,3600.54,0.25,1002039,0,0 %,3600.04,0.52,348676
10,10,0,0 %,3600.57,0.61,1510692,0,0 %,3600.04,0.99,381668
11,10,0,0 %,3600.56,1.01,1809272,0,0 %,3600.03,1.53,396725
12,10,0,0 %,3600.5,1.41,2009046,0,0 %,3600.03,2.15,326975
13,10,0,0 %,3600.52,2.12,1376452,0,0 %,3600.03,2.85,281558
14,10,0,0 %,3600.53,2.69,1090056,0,0 %,3600.02,3.91,225813
15,10,0,0 %,3600.48,3.51,712644,0,0 %,3600.07,4.72,214242
