seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,3,0.7820526590556626,0.0,0.0,35,OPTIMAL,7.866
2,3,0.5790167009153805,0.0,0.0,39,OPTIMAL,8.312
3,3,0.5687442356870922,0.0,0.0,33,OPTIMAL,8.964
4,3,0.8088982145668246,0.0,0.0,40,OPTIMAL,9.8
5,3,0.5333361993474728,0.0,0.0,30,OPTIMAL,10.155
1,4,0.8946268641300092,0.0,0.0,125,OPTIMAL,6.549
2,4,1.0987910305155162,0.0,0.0,170,OPTIMAL,6.664
3,4,1.0209371901497069,0.0,0.0,146,OPTIMAL,6.567
4,4,1.1432827010260391,0.0,0.0,166,OPTIMAL,8.446
5,4,0.966924818610073,0.003046153124350637,0.003160307654299626,123,OPTIMAL,9.658
1,5,1.4795318187671724,0.01167138595864925,0.00795129134744634,664,OPTIMAL,8.729
2,5,1.6579841536689468,0.011236686462599232,0.006823563834995233,853,OPTIMAL,9.452
3,5,1.2616880638537986,0.003103332134465786,0.002465731592203866,517,OPTIMAL,8.572
4,5,1.4860355919276897,0.0018312937210451796,0.001233855556986273,746,OPTIMAL,11.395
5,5,1.652093205061694,0.014808430745232304,0.009044505254997297,899,OPTIMAL,14.164
1,6,1.8831742775099256,0.015257362011628084,0.00816811598258798,3804,OPTIMAL,28.273
2,6,2.1116520376273074,0.018534586354066906,0.00885501496478009,5362,OPTIMAL,21.835
3,6,1.7677150703194724,0.01687280742387509,0.009636966037117655,3279,OPTIMAL,21.545
4,6,2.134835014121023,0.020701843822328758,0.009792119112063272,5490,OPTIMAL,21.707
5,6,2.0142823379596324,0.017428114022027597,0.008727784839326442,4962,OPTIMAL,21.747
1,7,2.37229261982671,0.02308822504171415,0.009828103971271191,28017,OPTIMAL,250.831
2,7,2.422008436770351,0.023907471173823414,0.00996933470141714,30167,OPTIMAL,160.941
3,7,2.3490337466077125,0.023124634529417598,0.00994219181193834,28565,OPTIMAL,265.938
4,7,2.602557764540016,0.025749492736916846,0.00999278565607012,39775,OPTIMAL,175.382
5,7,2.449834535501338,0.024149978926978122,0.009955943719691072,33410,OPTIMAL,161.409
1,8,2.8942452574246302,0.028653244462954586,0.009999066277875543,248302,OPTIMAL,1183.931
2,8,2.8062126869792543,0.027718081993928223,0.00997593514998911,220718,OPTIMAL,1100.069
3,8,2.9224634507541283,0.3119293828287941,0.11948872326983011,190119,Time limit reached,1200.036
4,8,3.0022693493973156,0.6654480212177525,0.2847663247477083,139972,Time limit reached,1200.036
5,8,2.960373697147759,0.6446951838501804,0.27840444178588497,131233,Time limit reached,1200.037
1,9,3.2369017690303363,1.1583917878940309,0.5573183667180405,216953,Time limit reached,1200.029
2,9,3.2939198635879374,1.2185765654802587,0.5871686706442113,203434,Time limit reached,1200.037
3,9,3.423023565235768,1.3945848555771234,0.6875163883121767,196555,Time limit reached,1200.026
4,9,3.504334111967668,1.4988088229560486,0.7473397773481603,190132,Time limit reached,1200.028
5,9,3.4752792966372104,1.4397398541915516,0.7073013787744313,199594,Time limit reached,1200.022
1,10,3.8624990166293705,2.28298626532992,1.445373747981286,106839,Time limit reached,1200.031
2,10,3.8871041580155303,2.2531725389683555,1.378988271420006,120594,Time limit reached,1200.021
3,10,3.8525453501751827,2.2661618711573523,1.4285082397355713,116059,Time limit reached,1200.021
4,10,4.058817023077542,2.3572455599252944,1.385334445817737,200882,Time limit reached,1200.026
5,10,3.8790334622940366,2.1972527263724295,1.3065036835306278,179497,Time limit reached,1200.018
